"PUMFID","WGHT_EPI","DDAY","STARTIME","ENDTIME","STARTMIN","ENDMIN","DURATION","LOCATION","origin","destination","dest","orig","YEAR","MODE"
18431,648.4506,6,600,605,360,365,5,14,2,4,"Restaurant, bar or club","work or school",2005,"walking"
18431,648.4506,6,625,630,385,390,5,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18431,648.4506,6,1505,1510,905,910,5,14,1,4,"Restaurant, bar or club","home",2005,"walking"
18431,648.4506,6,1525,1530,925,930,5,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18431,648.4506,6,1745,1750,1065,1070,5,14,1,2,"work or school","home",2005,"walking"
18447,1078.034,1,1500,1505,900,905,5,14,1,7,"Grocery store, other stores or mall","home",2005,"walking"
18447,1078.034,1,1805,1810,1085,1090,5,14,7,1,"home","Grocery store, other stores or mall",2005,"walking"
18451,1406.854,6,730,755,450,475,25,14,1,2,"work or school","home",2005,"walking"
18452,899.7552,4,2130,2135,1290,1295,5,14,3,1,"home","other's home",2005,"walking"
18462,577.4661,6,1800,1840,1080,1120,40,14,1,1,"home","home",2005,"walking"
18463,2143.502,5,1240,1250,760,770,10,14,1,3,"other's home","home",2005,"walking"
18463,2143.502,5,1255,1305,775,785,10,14,3,1,"home","other's home",2005,"walking"
18468,549.5101,1,1045,1100,645,660,15,14,1,2,"work or school","home",2005,"walking"
18468,549.5101,1,2300,2315,1380,1395,15,14,2,1,"home","work or school",2005,"walking"
18474,609.3613,3,1030,1045,630,645,15,14,1,7,"Grocery store, other stores or mall","home",2005,"walking"
18474,609.3613,3,1145,1200,705,720,15,14,7,1,"home","Grocery store, other stores or mall",2005,"walking"
18475,2581.993,1,1200,1230,720,750,30,14,9,7,"Grocery store, other stores or mall","outdoors",2005,"walking"
18475,2581.993,1,1300,1330,780,810,30,14,7,9,"outdoors","Grocery store, other stores or mall",2005,"walking"
18475,2581.993,1,1530,1545,930,945,15,14,1,2,"work or school","home",2005,"walking"
18475,2581.993,1,30,100,1470,1500,30,14,2,1,"home","work or school",2005,"walking"
18476,137.8604,2,1510,1515,910,915,5,14,3,7,"Grocery store, other stores or mall","other's home",2005,"walking"
18481,1178.744,6,1535,1545,935,945,10,14,1,4,"Restaurant, bar or club","home",2005,"walking"
18489,680.8841,5,1300,1305,780,785,5,14,1,8,"work or school","home",2005,"walking"
18489,680.8841,5,1700,1701,1020,1021,1,14,8,4,"Restaurant, bar or club","work or school",2005,"walking"
18489,680.8841,5,1731,1736,1051,1056,5,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18499,510.9594,3,1900,1902,1140,1142,2,14,1,3,"other's home","home",2005,"walking"
18499,510.9594,3,2015,2017,1215,1217,2,14,3,1,"home","other's home",2005,"walking"
18511,1873.686,3,1830,1835,1110,1115,5,14,1,1,"home","home",2005,"walking"
18511,1873.686,3,2005,2010,1205,1210,5,14,1,1,"home","home",2005,"walking"
18513,879.2889,1,950,1000,590,600,10,14,1,2,"work or school","home",2005,"walking"
18526,686.3375,1,1500,1505,900,905,5,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18526,686.3375,1,1535,1540,935,940,5,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18541,3652.025,5,1230,1232,750,752,2,14,2,2,"work or school","work or school",2005,"walking"
18541,3652.025,5,1234,1236,754,756,2,14,2,2,"work or school","work or school",2005,"walking"
18541,3652.025,5,1315,1320,795,800,5,14,2,7,"Grocery store, other stores or mall","work or school",2005,"walking"
18541,3652.025,5,1340,1345,820,825,5,14,7,2,"work or school","Grocery store, other stores or mall",2005,"walking"
18541,3652.025,5,1730,1735,1050,1055,5,14,2,7,"Grocery store, other stores or mall","work or school",2005,"walking"
18541,3652.025,5,1745,1750,1065,1070,5,14,7,2,"work or school","Grocery store, other stores or mall",2005,"walking"
18543,775.8342,6,2340,2345,1420,1425,5,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18544,945.1643,3,930,945,570,585,15,14,1,8,"work or school","home",2005,"walking"
18544,945.1643,3,1545,1555,945,955,10,14,8,8,"work or school","work or school",2005,"walking"
18544,945.1643,3,1715,1730,1035,1050,15,14,8,1,"home","work or school",2005,"walking"
18553,716.1732,1,930,938,570,578,8,14,1,5,"Place of worship","home",2005,"walking"
18554,1748.548,4,1015,1020,615,620,5,14,1,9,"outdoors","home",2005,"walking"
18554,1748.548,4,1120,1125,680,685,5,14,9,1,"home","outdoors",2005,"walking"
18564,881.1435,2,1640,1740,1000,1060,60,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18564,881.1435,2,1800,1840,1080,1120,40,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18587,3838.625,6,600,630,360,390,30,14,1,2,"work or school","home",2005,"walking"
18587,3838.625,6,1900,1930,1140,1170,30,14,2,1,"home","work or school",2005,"walking"
18588,549.4719,7,1815,1830,1095,1110,15,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18588,549.4719,7,1900,1915,1140,1155,15,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18609,2038.422,3,800,805,480,485,5,14,1,8,"work or school","home",2005,"walking"
18609,2038.422,3,815,820,495,500,5,14,8,1,"home","work or school",2005,"walking"
18609,2038.422,3,1205,1210,725,730,5,14,1,8,"work or school","home",2005,"walking"
18609,2038.422,3,1605,1610,965,970,5,14,1,1,"home","home",2005,"walking"
18609,2038.422,3,1655,1700,1015,1020,5,14,1,1,"home","home",2005,"walking"
18613,1240.062,6,650,652,410,412,2,14,1,2,"work or school","home",2005,"walking"
18613,1240.062,6,1530,1532,930,932,2,14,2,1,"home","work or school",2005,"walking"
18623,567.7438,7,1400,1402,840,842,2,14,9,4,"Restaurant, bar or club","outdoors",2005,"walking"
18625,974.2464,7,1520,1535,920,935,15,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18644,509.7082,7,920,922,560,562,2,14,1,3,"other's home","home",2005,"walking"
18644,509.7082,7,1400,1402,840,842,2,14,3,1,"home","other's home",2005,"walking"
18644,509.7082,7,2257,2259,1377,1379,2,14,3,1,"home","other's home",2005,"walking"
18654,2193.97,6,1910,1912,1150,1152,2,14,1,1,"home","home",2005,"walking"
18654,2193.97,6,2200,2202,1320,1322,2,14,1,1,"home","home",2005,"walking"
18660,2356.685,5,1945,1946,1185,1186,1,14,1,3,"other's home","home",2005,"walking"
18660,2356.685,5,2031,2032,1231,1232,1,14,3,1,"home","other's home",2005,"walking"
18661,1370.226,1,1130,1135,690,695,5,14,9,4,"Restaurant, bar or club","outdoors",2005,"walking"
18664,2055.802,4,1030,1100,630,660,30,14,9,7,"Grocery store, other stores or mall","outdoors",2005,"walking"
